                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.6664,                0.67008,                0.89434,                0.89473,                0.72412,                0.78666,                 0.4215,                 1.7288,                0.73011,                 0.9659,              0.0006536,              0.0006536,              0.0006536
                     70,                  1.684,                0.67382,                0.88938,                0.89006,                0.71868,                0.78053,                0.41659,                  1.742,                0.73071,                0.96451,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6732,                0.67582,                  0.899,                0.89758,                0.72156,                0.78635,                0.42556,                 1.7339,                0.73412,                0.96826,               0.000614,               0.000614,               0.000614
                     72,                 1.6853,                0.70141,                0.90398,                0.90057,                0.72565,                0.79205,                0.42898,                 1.7135,                0.73294,                0.96335,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6247,                 0.6622,                0.89439,                0.90008,                 0.7261,                0.79056,                0.42833,                 1.7155,                0.72571,                0.96953,              0.0005744,              0.0005744,              0.0005744
                     74,                  1.679,                0.69271,                0.90971,                0.88902,                0.72499,                0.78319,                0.42018,                  1.737,                 0.7529,                0.97093,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6669,                0.68222,                0.89134,                0.88531,                0.72419,                 0.7836,                  0.419,                  1.749,                0.74085,                0.96987,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.6793,                  0.674,                0.90093,                0.88745,                 0.7307,                0.78703,                0.42205,                 1.7043,                0.73013,                0.95956,               0.000515,               0.000515,               0.000515
                     77,                 1.6159,                0.66357,                0.89127,                0.89232,                0.72849,                0.79299,                0.42691,                 1.7073,                0.72527,                0.96188,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6678,                0.67638,                0.89261,                0.86447,                0.71715,                0.78214,                0.41922,                 1.7341,                0.74351,                 0.9685,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.6152,                0.66841,                0.89868,                0.89813,                0.72459,                  0.797,                0.43205,                 1.7362,                0.74532,                0.96961,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.6245,                0.66502,                0.89521,                0.89763,                 0.7291,                0.79752,                0.42927,                 1.7137,                0.72395,                0.96603,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6167,                0.67418,                0.90492,                0.89801,                0.73077,                0.79702,                0.42979,                 1.7129,                0.71191,                0.96499,               0.000416,               0.000416,               0.000416
                     82,                 1.6768,                0.68334,                0.89821,                  0.899,                0.73315,                0.79736,                0.43022,                 1.7063,                0.71483,                0.96519,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5717,                0.65198,                0.89805,                0.90078,                0.72754,                 0.7867,                0.42432,                 1.7287,                 0.7315,                0.97213,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.6525,                0.75869,                0.94967,                0.90193,                0.73335,                0.79168,                0.42978,                 1.7137,                0.72341,                0.96989,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.6642,                0.70404,                 0.8952,                0.90411,                0.73116,                0.79245,                0.43247,                  1.708,                0.71651,                0.96637,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5897,                0.64104,                0.89253,                0.90013,                0.73849,                0.80031,                0.43239,                 1.7024,                0.70926,                0.96409,               0.000317,               0.000317,               0.000317
                     87,                 1.5957,                0.64713,                0.89454,                0.90341,                0.74089,                0.80196,                0.43898,                 1.6954,                0.70576,                0.96226,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5956,                0.64835,                0.89295,                0.89469,                0.73554,                 0.7956,                0.43183,                 1.7103,                0.71101,                0.96893,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5476,                0.62851,                0.88515,                 0.9029,                0.73826,                0.79973,                 0.4374,                 1.7006,                0.70822,                0.96739,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.6098,                0.66658,                0.89625,                0.90107,                0.73296,                0.79034,                0.42929,                 1.7047,                0.70924,                0.96502,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5997,                0.67323,                0.90155,                0.90131,                0.73375,                0.79213,                0.43072,                 1.6943,                0.70921,                0.96342,               0.000218,               0.000218,               0.000218
                     92,                 1.5961,                0.65055,                  0.894,                0.90511,                0.73727,                0.79562,                0.43183,                 1.6884,                0.71156,                0.96116,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5991,                0.69767,                 0.9164,                0.90349,                 0.7384,                0.79423,                0.43188,                 1.6816,                0.71202,                0.96086,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.5447,                0.67742,                 0.9216,                0.90209,                0.73833,                0.79386,                0.42924,                 1.6924,                0.71352,                 0.9617,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.6228,                0.67667,                0.89859,                 0.8953,                0.73787,                0.79192,                0.42861,                 1.6839,                  0.715,                0.96118,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.557,                 0.6456,                0.90238,                0.89889,                 0.7384,                0.79373,                0.43075,                 1.6921,                0.70975,                0.96197,               0.000119,               0.000119,               0.000119
                     97,                 1.5413,                 0.6316,                0.89849,                0.89902,                 0.7386,                0.79549,                0.43319,                 1.6953,                0.70599,                0.96441,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.5671,                0.63412,                0.90008,                0.89866,                0.73833,                0.79555,                0.43338,                 1.6913,                0.70257,                0.96419,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.5378,                0.63498,                0.89671,                0.89771,                0.73886,                0.79725,                0.43451,                 1.6866,                0.69963,                0.96308,               5.96e-05,               5.96e-05,               5.96e-05
